player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Chris Latham,60,146,131,21,29,6,1,7,17,4,2,14,59,0.221,0.301,0.44299999999999995,0.7440000000000001,58,0,1,0,0,1.0,0.22137404580152673,0.04580152671755725,0.007633587786259542,0.05343511450381679,0.0017196904557179708,0.10687022900763359,0.45038167938931295
Mike Kinkade,26,102,86,13,20,1,1,3,7,1,0,4,19,0.233,0.353,0.37200000000000005,0.725,32,6,12,0,0,0.0,0.23255813953488372,0.011627906976744186,0.011627906976744186,0.03488372093023256,0.0004299226139294927,0.046511627906976744,0.22093023255813954
Greg LaRocca,583,2375,2068,322,600,111,3,123,372,15,10,183,290,0.29,0.376,0.525,0.9009999999999999,1086,47,109,0,15,10.0,0.2901353965183752,0.05367504835589942,0.0014506769825918763,0.059477756286266927,0.006448839208942391,0.08849129593810445,0.1402321083172147
Tuffy Rhodes,1674,7319,6274,1100,1792,311,7,464,1269,87,34,958,1655,0.28600000000000003,0.381,0.5589999999999999,0.94,3509,130,40,0,47,77.0,0.2856232068855595,0.049569652534268406,0.0011157156518967167,0.07395600892572521,0.037403267411865865,0.1526936563595792,0.263787057698438
Shane Spencer,167,428,384,39,91,21,0,15,50,1,1,40,103,0.237,0.308,0.409,0.7170000000000001,157,8,1,0,3,0.0,0.23697916666666666,0.0546875,0.0,0.0390625,0.0004299226139294927,0.10416666666666667,0.2682291666666667
Adam Riggs,316,1218,1133,180,318,72,1,59,168,15,6,65,244,0.281,0.327,0.502,0.8290000000000001,569,23,15,0,5,1.0,0.28067078552515445,0.06354810238305383,0.00088261253309797,0.05207413945278023,0.006448839208942391,0.05736981465136805,0.21535745807590467
Kevin Witt,65,199,179,16,31,1,2,10,22,0,0,17,70,0.17300000000000001,0.24600000000000002,0.369,0.615,66,6,1,0,2,1.0,0.17318435754189945,0.00558659217877095,0.0111731843575419,0.055865921787709494,0.0,0.09497206703910614,0.39106145251396646
Gabe Kapler,38,120,111,11,17,1,1,3,6,2,0,9,19,0.153,0.217,0.261,0.478,29,4,0,0,0,0.0,0.15315315315315314,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.0008598452278589854,0.08108108108108109,0.17117117117117117
Joe Dillon,31,95,87,9,17,3,1,2,7,0,0,8,17,0.195,0.263,0.322,0.585,28,4,0,0,0,0.0,0.19540229885057472,0.034482758620689655,0.011494252873563218,0.022988505747126436,0.0,0.09195402298850575,0.19540229885057472
Aaron Guiel,441,1701,1411,203,330,64,1,90,239,6,6,211,385,0.23399999999999999,0.35700000000000004,0.47200000000000003,0.8290000000000001,666,19,67,0,12,12.0,0.23387668320340185,0.04535790219702339,0.0007087172218284905,0.06378454996456413,0.0025795356835769563,0.14953933380581147,0.27285613040396883
Luis Gonzalez,57,207,187,24,53,11,0,5,29,0,0,9,35,0.28300000000000003,0.332,0.42200000000000004,0.754,79,7,6,2,3,0.0,0.28342245989304815,0.058823529411764705,0.0,0.026737967914438502,0.0,0.0481283422459893,0.18716577540106952
Damon Hollins,124,407,370,43,95,23,1,12,45,2,2,33,85,0.257,0.318,0.42200000000000004,0.7390000000000001,156,10,1,1,2,4.0,0.25675675675675674,0.062162162162162166,0.002702702702702703,0.032432432432432434,0.0008598452278589854,0.0891891891891892,0.22972972972972974
Lew Ford,82,273,244,22,57,15,1,5,29,0,1,20,50,0.23399999999999999,0.304,0.365,0.669,89,13,6,0,3,0.0,0.2336065573770492,0.06147540983606557,0.004098360655737705,0.020491803278688523,0.0,0.08196721311475409,0.20491803278688525
Scott Seabol,150,573,527,34,136,21,2,19,64,1,3,36,106,0.258,0.311,0.414,0.7240000000000001,218,13,6,0,4,0.0,0.25806451612903225,0.03984819734345351,0.003795066413662239,0.036053130929791274,0.0004299226139294927,0.0683111954459203,0.20113851992409867
Larry Bigbie,84,277,250,30,62,14,0,10,36,1,0,22,76,0.248,0.314,0.424,0.738,106,8,3,0,2,0.0,0.248,0.056,0.0,0.04,0.0004299226139294927,0.088,0.304
Kevin Mench,38,130,118,11,30,7,0,3,14,2,1,10,15,0.254,0.315,0.39,0.705,46,3,1,0,1,0.0,0.2542372881355932,0.059322033898305086,0.0,0.025423728813559324,0.0008598452278589854,0.0847457627118644,0.1271186440677966
Jamie D'Antona,217,761,685,72,180,36,0,36,133,0,0,62,209,0.263,0.322,0.473,0.795,324,19,3,0,11,2.0,0.26277372262773724,0.052554744525547446,0.0,0.052554744525547446,0.0,0.0905109489051095,0.3051094890510949
Dan Johnson,117,382,325,43,70,6,1,24,57,0,0,52,78,0.215,0.33,0.462,0.7909999999999999,150,10,4,0,1,1.0,0.2153846153846154,0.018461538461538463,0.003076923076923077,0.07384615384615385,0.0,0.16,0.24
Edgardo Alfonzo,53,124,111,10,28,3,0,5,16,0,0,12,16,0.252,0.32299999999999995,0.414,0.737,46,2,0,0,1,0.0,0.25225225225225223,0.02702702702702703,0.0,0.04504504504504504,0.0,0.10810810810810811,0.14414414414414414
Matt Murton,832,3534,3287,369,1020,173,7,77,417,27,21,208,424,0.31,0.35200000000000004,0.43700000000000006,0.79,1438,106,16,1,22,8.0,0.31031335564344387,0.05263157894736842,0.0021296014602981443,0.023425616063279586,0.011607910576096303,0.06327958624885914,0.12899300273805903
Jeff Fiorentino,97,292,250,22,66,10,0,6,31,2,1,36,58,0.264,0.36200000000000004,0.376,0.738,94,6,3,2,1,1.0,0.264,0.04,0.0,0.024,0.0008598452278589854,0.144,0.232
Justin Huber,80,209,177,20,39,7,0,7,17,0,0,25,42,0.22,0.34,0.379,0.718,67,6,7,0,0,0.0,0.22033898305084745,0.03954802259887006,0.0,0.03954802259887006,0.0,0.14124293785310735,0.23728813559322035
Edgar Gonzalez,157,517,463,39,117,30,1,16,63,2,4,47,113,0.253,0.32299999999999995,0.425,0.748,197,13,2,3,2,3.0,0.2526997840172786,0.06479481641468683,0.0021598272138228943,0.03455723542116631,0.0008598452278589854,0.10151187904967603,0.24406047516198703
Joel Guzman,98,333,312,26,64,11,0,9,25,0,0,15,100,0.205,0.249,0.327,0.5760000000000001,102,7,4,0,2,0.0,0.20512820512820512,0.035256410256410256,0.0,0.028846153846153848,0.0,0.04807692307692308,0.32051282051282054
Brian Barden,95,346,304,24,79,14,0,4,26,0,1,34,70,0.26,0.344,0.345,0.6890000000000001,105,3,6,0,2,0.0,0.2598684210526316,0.046052631578947366,0.0,0.013157894736842105,0.0,0.1118421052631579,0.23026315789473684
Chad Tracy,40,164,149,10,35,12,0,1,19,0,0,11,34,0.235,0.293,0.336,0.628,50,7,2,0,2,0.0,0.2348993288590604,0.08053691275167785,0.0,0.006711409395973154,0.0,0.0738255033557047,0.22818791946308725
