player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Jason Botts,93,326,282,33,65,15,1,5,28,1,0,38,108,0.23,0.325,0.344,0.669,97,9,3,0,3,1.0,0.23049645390070922,0.05319148936170213,0.0035460992907801418,0.01773049645390071,0.0002630194634402946,0.1347517730496454,0.3829787234042553
Terrmel Sledge,291,803,705,81,174,32,7,25,100,6,6,82,151,0.247,0.327,0.418,0.745,295,13,4,7,5,7.0,0.24680851063829787,0.04539007092198582,0.009929078014184398,0.03546099290780142,0.0015781167806417674,0.11631205673758865,0.21418439716312057
Hiram Bocachica,272,584,535,69,115,28,1,15,37,16,10,41,139,0.215,0.272,0.355,0.628,190,6,2,4,2,0.0,0.21495327102803738,0.052336448598130844,0.001869158878504673,0.028037383177570093,0.004208311415044713,0.07663551401869159,0.25981308411214954
Craig Brazell,29,40,38,4,10,2,0,1,3,0,0,2,8,0.263,0.3,0.395,0.695,15,1,0,0,0,0.0,0.2631578947368421,0.05263157894736842,0.0,0.02631578947368421,0.0,0.05263157894736842,0.21052631578947367
Chris Aguila,149,248,230,26,53,13,2,3,16,2,2,16,61,0.23,0.28,0.34299999999999997,0.624,79,3,0,2,0,1.0,0.23043478260869565,0.05652173913043478,0.008695652173913044,0.013043478260869565,0.0005260389268805891,0.06956521739130435,0.26521739130434785
Luis Jimenez,68,168,157,19,34,8,0,0,7,0,2,3,47,0.217,0.253,0.268,0.521,42,3,5,2,1,0.0,0.21656050955414013,0.050955414012738856,0.0,0.0,0.0,0.01910828025477707,0.29936305732484075
Todd Linden,270,559,502,64,116,22,3,8,36,8,0,44,148,0.231,0.303,0.335,0.638,168,13,8,5,0,1.0,0.23107569721115537,0.043824701195219126,0.00597609561752988,0.01593625498007968,0.0021041557075223566,0.08764940239043825,0.2948207171314741
Roberto Petagine,242,438,366,48,83,17,1,12,54,1,2,63,103,0.22699999999999998,0.345,0.377,0.722,138,10,4,3,2,3.0,0.226775956284153,0.04644808743169399,0.00273224043715847,0.03278688524590164,0.0002630194634402946,0.1721311475409836,0.2814207650273224
Freddie Bynum,188,377,351,54,82,17,8,6,32,18,8,16,108,0.23399999999999999,0.275,0.379,0.654,133,6,4,6,0,0.0,0.2336182336182336,0.04843304843304843,0.022792022792022793,0.017094017094017096,0.004734350341925302,0.045584045584045586,0.3076923076923077
Dee Brown,271,874,814,86,190,37,1,14,89,8,6,50,207,0.233,0.28,0.33299999999999996,0.613,271,13,4,2,4,5.0,0.2334152334152334,0.045454545454545456,0.0012285012285012285,0.0171990171990172,0.0021041557075223566,0.06142506142506143,0.2542997542997543
Andy Phillips,259,604,557,77,139,25,4,14,70,3,5,34,110,0.25,0.294,0.384,0.679,214,20,3,6,4,0.0,0.2495511669658887,0.04488330341113106,0.00718132854578097,0.025134649910233394,0.0007890583903208837,0.06104129263913824,0.19748653500897667
Jose Castillo,592,2059,1918,211,487,103,10,39,218,13,11,111,378,0.254,0.29600000000000004,0.379,0.675,727,72,9,7,14,19.0,0.25391032325338897,0.053701772679874867,0.005213764337851929,0.020333680917622523,0.0034192530247238295,0.05787278415015641,0.19708029197080293
Micah Hoffpauir,162,394,359,47,90,23,1,12,48,2,0,31,85,0.251,0.312,0.42100000000000004,0.733,151,6,2,0,2,1.0,0.25069637883008355,0.06406685236768803,0.002785515320334262,0.033426183844011144,0.0005260389268805891,0.08635097493036212,0.23676880222841226
Bobby Scales,61,158,137,19,34,8,2,3,17,1,0,18,37,0.248,0.342,0.401,0.743,55,5,2,0,1,1.0,0.24817518248175183,0.058394160583941604,0.014598540145985401,0.021897810218978103,0.0002630194634402946,0.13138686131386862,0.27007299270072993
Mike Hessman,109,250,223,29,42,8,1,14,33,0,0,21,79,0.188,0.272,0.42200000000000004,0.6940000000000001,94,4,5,0,1,2.0,0.18834080717488788,0.03587443946188341,0.004484304932735426,0.06278026905829596,0.0,0.09417040358744394,0.3542600896860987
Brandon Allen,116,389,344,44,70,19,2,12,41,3,0,42,137,0.203,0.29,0.375,0.665,129,4,1,0,2,6.0,0.20348837209302326,0.055232558139534885,0.005813953488372093,0.03488372093023256,0.0007890583903208837,0.12209302325581395,0.39825581395348836
Wily Mo Pena,599,1845,1703,211,425,70,5,84,240,12,8,111,559,0.25,0.303,0.445,0.748,757,37,23,1,7,5.0,0.24955960070463887,0.041103934233705224,0.002935995302407516,0.04932472108044627,0.003156233561283535,0.06517909571344686,0.3282442748091603
Chris Carter,113,206,190,20,50,9,0,4,28,1,2,14,26,0.263,0.316,0.374,0.6890000000000001,71,2,1,0,1,0.0,0.2631578947368421,0.04736842105263158,0.0,0.021052631578947368,0.0002630194634402946,0.07368421052631578,0.1368421052631579
Esteban German,409,1170,1016,159,284,54,15,8,111,34,15,117,187,0.28,0.359,0.386,0.745,392,26,13,17,7,1.0,0.2795275590551181,0.0531496062992126,0.014763779527559055,0.007874015748031496,0.008942661756970016,0.11515748031496063,0.18405511811023623
Luis Terrero,243,625,551,66,129,23,1,14,52,17,10,47,161,0.23399999999999999,0.319,0.35600000000000004,0.675,196,11,22,4,1,2.0,0.23411978221415608,0.041742286751361164,0.0018148820326678765,0.025408348457350273,0.004471330878485008,0.0852994555353902,0.29219600725952816
Josh Whitesell,53,142,115,8,23,7,0,2,15,0,0,25,31,0.2,0.35200000000000004,0.313,0.665,36,2,2,0,0,4.0,0.2,0.06086956521739131,0.0,0.017391304347826087,0.0,0.21739130434782608,0.26956521739130435
Vinny Rottino,62,110,97,14,16,4,0,3,11,5,0,10,24,0.165,0.24100000000000002,0.299,0.54,29,0,0,2,1,1.0,0.16494845360824742,0.041237113402061855,0.0,0.030927835051546393,0.0013150973172014729,0.10309278350515463,0.24742268041237114
Ryan Spliborghs,619,1769,1561,222,424,86,12,42,218,31,19,172,328,0.272,0.345,0.423,0.768,660,46,12,7,17,1.0,0.2716207559256887,0.05509288917360666,0.007687379884689302,0.026905829596412557,0.008153603366649132,0.11018577834721333,0.21012171684817424
Andruw Jones,2196,8664,7599,1204,1933,383,36,434,1289,152,59,891,1748,0.254,0.337,0.486,0.823,3690,192,97,6,71,69.0,0.25437557573364916,0.05040136860113173,0.00473746545598105,0.05711277799710488,0.039978958442924775,0.11725227003553099,0.23003026714041322
Luis Cruz,195,652,610,57,143,27,1,7,57,4,2,24,78,0.23399999999999999,0.272,0.316,0.589,193,18,9,6,3,3.0,0.23442622950819672,0.04426229508196721,0.001639344262295082,0.011475409836065573,0.0010520778537611783,0.03934426229508197,0.12786885245901639
Chad Huffman,21,36,32,4,7,0,1,0,2,0,0,3,11,0.21899999999999997,0.306,0.281,0.5870000000000001,9,1,1,0,0,0.0,0.21875,0.0,0.03125,0.0,0.0,0.09375,0.34375
Barbaro Canizare,5,21,21,1,4,1,0,0,0,0,0,0,6,0.19,0.19,0.23800000000000002,0.429,5,0,0,0,0,0.0,0.19047619047619047,0.047619047619047616,0.0,0.0,0.0,0.0,0.2857142857142857
Juan Miranda,111,296,257,29,58,11,3,11,37,0,1,32,68,0.226,0.32,0.42,0.74,108,2,4,2,1,1.0,0.22568093385214008,0.042801556420233464,0.011673151750972763,0.042801556420233464,0.0,0.1245136186770428,0.26459143968871596
Yuniesky Betancourt,1156,4278,4052,437,1057,218,29,80,457,30,30,143,435,0.261,0.285,0.38799999999999996,0.6729999999999999,1573,110,10,34,39,10.0,0.2608588351431392,0.05380059230009872,0.007156959526159921,0.019743336623889437,0.007890583903208837,0.03529121421520237,0.10735439289239881
Joey Butler,102,297,274,33,75,14,0,8,31,5,2,20,91,0.27399999999999997,0.33,0.41200000000000003,0.742,113,16,3,0,0,0.0,0.2737226277372263,0.051094890510948905,0.0,0.029197080291970802,0.0013150973172014729,0.072992700729927,0.33211678832116787
