player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB,player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Carlos Peguero,103,319,289,29,56,10,3,13,37,3,1,24,126,0.19399999999999998,0.263,0.384,0.647,111,1,4,0,2,3.0,0.19377162629757785,0.03460207612456748,0.010380622837370242,0.04498269896193772,0.0007890583903208837,0.08304498269896193,0.4359861591695502,Carlos Peguero,259,1065,955,128,253,33,2,53,145,4,2,103,326,0.265,0.34,0.47,0.81,449,26,6,0,1,10.0,0.2649214659685864,0.03455497382198953,0.0020942408376963353,0.05549738219895288,0.0017196904557179708,0.10785340314136126,0.3413612565445026
Matt Duffy,11,12,11,0,3,1,0,0,3,0,0,1,4,0.273,0.33299999999999996,0.364,0.6970000000000001,4,0,0,0,0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,Matt Duffy,112,349,311,33,69,17,1,12,39,0,1,25,96,0.222,0.301,0.39899999999999997,0.7,124,5,11,0,2,0.0,0.22186495176848875,0.05466237942122187,0.003215434083601286,0.03858520900321544,0.0,0.08038585209003216,0.3086816720257235
Jimmy Paredes,332,1012,951,104,239,42,5,20,100,19,14,49,287,0.251,0.28600000000000003,0.369,0.6559999999999999,351,13,1,3,8,0.0,0.2513144058885384,0.04416403785488959,0.005257623554153523,0.02103049421661409,0.004997369805365597,0.05152471083070452,0.3017875920084122,Jimmy Paredes,138,458,424,50,89,11,1,17,41,2,0,28,137,0.21,0.264,0.361,0.625,153,7,4,0,2,2.0,0.2099056603773585,0.025943396226415096,0.0023584905660377358,0.04009433962264151,0.0008598452278589854,0.0660377358490566,0.3231132075471698
Chris Marrero,54,174,163,8,34,5,0,1,16,0,0,6,40,0.209,0.23600000000000002,0.258,0.493,42,5,1,0,4,0.0,0.2085889570552147,0.03067484662576687,0.0,0.006134969325153374,0.0,0.03680981595092025,0.24539877300613497,Chris Marrero,193,697,625,69,152,34,2,33,90,2,0,60,187,0.243,0.314,0.462,0.777,289,16,7,0,5,1.0,0.2432,0.0544,0.0032,0.0528,0.0008598452278589854,0.096,0.2992
Matt Dominguez,362,1369,1272,123,294,48,2,42,152,0,2,66,249,0.231,0.273,0.371,0.644,472,46,13,4,14,4.0,0.23113207547169812,0.03773584905660377,0.0015723270440251573,0.0330188679245283,0.0,0.05188679245283019,0.1957547169811321,Matt Dominguez,89,280,243,27,54,13,0,13,44,0,0,26,62,0.222,0.318,0.436,0.754,106,3,9,0,2,0.0,0.2222222222222222,0.053497942386831275,0.0,0.053497942386831275,0.0,0.10699588477366255,0.2551440329218107
Oswaldo Arcia,288,1075,983,103,231,40,6,44,131,3,5,76,339,0.235,0.298,0.42200000000000004,0.72,415,13,13,0,3,8.0,0.23499491353001017,0.04069175991861648,0.006103763987792472,0.044760935910478125,0.0007890583903208837,0.07731434384537131,0.34486266531027465,Oswaldo Arcia,98,353,302,33,67,10,0,14,46,0,2,40,96,0.222,0.331,0.39399999999999996,0.725,119,6,10,0,1,0.0,0.22185430463576158,0.033112582781456956,0.0,0.046357615894039736,0.0,0.13245033112582782,0.31788079470198677
Stefen Romero,94,233,215,26,42,8,2,4,17,0,4,8,58,0.195,0.242,0.307,0.5489999999999999,66,5,6,2,2,0.0,0.19534883720930232,0.037209302325581395,0.009302325581395349,0.018604651162790697,0.0,0.037209302325581395,0.26976744186046514,Stefen Romero,426,1740,1561,221,412,67,4,96,264,12,6,134,434,0.264,0.331,0.496,0.828,775,34,30,0,15,9.0,0.26393337604099937,0.042921204356181936,0.0025624599615631004,0.06149903907751442,0.005159071367153913,0.08584240871236387,0.27802690582959644
O'koyea Dickson,7,9,7,0,1,0,0,0,0,0,0,2,2,0.14300000000000002,0.33299999999999996,0.14300000000000002,0.47600000000000003,1,0,0,0,0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,O'koyea Dickson,68,213,189,21,46,9,0,11,37,0,1,18,52,0.243,0.324,0.466,0.79,88,5,5,0,1,0.0,0.24338624338624337,0.047619047619047616,0.0,0.0582010582010582,0.0,0.09523809523809523,0.2751322751322751
Leonys Martin,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236,Leonys Martin,253,1098,901,165,217,51,0,64,174,14,6,159,261,0.24100000000000002,0.37200000000000005,0.511,0.882,460,21,32,0,6,9.0,0.24084350721420644,0.05660377358490566,0.0,0.07103218645948946,0.0060189165950128975,0.17647058823529413,0.28967813540510545
Kenny Vargas,236,859,783,104,197,38,1,35,116,0,0,65,251,0.252,0.311,0.43700000000000006,0.748,342,24,5,0,6,4.0,0.2515964240102171,0.04853128991060025,0.001277139208173691,0.04469987228607918,0.0,0.08301404853128991,0.3205619412515964,Kenny Vargas,89,249,215,14,50,10,0,6,27,0,1,28,78,0.233,0.32899999999999996,0.363,0.6920000000000001,78,8,4,0,2,1.0,0.23255813953488372,0.046511627906976744,0.0,0.027906976744186046,0.0,0.13023255813953488,0.3627906976744186
Jabari Blash,123,324,274,35,51,9,0,8,22,4,3,44,124,0.18600000000000003,0.306,0.307,0.612,84,8,4,0,2,0.0,0.18613138686131386,0.032846715328467155,0.0,0.029197080291970802,0.0010520778537611783,0.16058394160583941,0.45255474452554745,Jabari Blash,165,676,545,91,139,27,0,35,113,3,4,106,203,0.255,0.391,0.49700000000000005,0.888,271,9,19,0,6,3.0,0.25504587155963304,0.04954128440366973,0.0,0.06422018348623854,0.0012897678417884782,0.1944954128440367,0.3724770642201835
Adam Jones,1823,7515,7009,963,1939,336,29,282,945,97,35,340,1395,0.27699999999999997,0.317,0.45399999999999996,0.7709999999999999,3179,190,103,8,55,20.0,0.2766443144528463,0.047938364959337995,0.004137537451847625,0.04023398487658725,0.025512887953708575,0.04850905978028249,0.19902981880439435,Adam Jones,54,504,443,39,112,16,0,16,66,1,0,53,97,0.253,0.337,0.397,0.735,176,16,5,0,3,1.0,0.2528216704288939,0.03611738148984198,0.0,0.03611738148984198,0.0004299226139294927,0.11963882618510158,0.21896162528216703
Cory Spangenberg,419,1379,1250,154,320,49,15,29,119,34,10,99,374,0.256,0.315,0.389,0.7040000000000001,486,14,10,16,4,3.0,0.256,0.0392,0.012,0.0232,0.008942661756970016,0.0792,0.2992,Cory Spangenberg,171,654,586,80,150,33,11,22,84,15,5,59,214,0.256,0.32899999999999996,0.462,0.7909999999999999,271,6,6,0,3,0.0,0.25597269624573377,0.05631399317406143,0.01877133105802048,0.03754266211604096,0.006448839208942391,0.10068259385665529,0.3651877133105802
Leo Gomez,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236,Leo Gomez,660,2740,2355,348,690,98,3,153,449,8,4,334,350,0.293,0.382,0.532,0.914,1253,70,21,3,27,37.0,0.2929936305732484,0.041613588110403395,0.0012738853503184713,0.06496815286624204,0.0034393809114359416,0.14182590233545647,0.14861995753715498
Dave Nilsson,837,3153,2779,389,789,157,10,105,470,15,18,320,424,0.284,0.35600000000000004,0.461,0.8170000000000001,1281,57,10,12,32,40.0,0.283915077365959,0.05649514213745952,0.0035984166966534724,0.037783375314861464,0.003945291951604419,0.11514933429291112,0.15257286793810723,Dave Nilsson,18,63,61,5,11,2,0,1,8,0,0,2,16,0.18,0.20600000000000002,0.262,0.469,16,2,0,0,0,0.0,0.18032786885245902,0.03278688524590164,0.0,0.01639344262295082,0.0,0.03278688524590164,0.26229508196721313
Howard Battle,29,43,37,5,9,0,0,1,5,1,0,6,13,0.243,0.349,0.324,0.6729999999999999,12,1,0,0,0,0.0,0.24324324324324326,0.0,0.0,0.02702702702702703,0.0002630194634402946,0.16216216216216217,0.35135135135135137,Howard Battle,13,51,44,4,10,2,0,1,1,0,0,3,14,0.22699999999999998,0.292,0.341,0.633,15,1,1,3,0,0.0,0.22727272727272727,0.045454545454545456,0.0,0.022727272727272728,0.0,0.06818181818181818,0.3181818181818182
Micah Franklin,17,37,34,6,11,0,0,2,2,0,0,3,10,0.324,0.37799999999999995,0.5,0.878,17,0,0,0,0,0.0,0.3235294117647059,0.0,0.0,0.058823529411764705,0.0,0.08823529411764706,0.29411764705882354,Micah Franklin,144,576,472,74,110,26,0,32,86,3,0,77,144,0.233,0.359,0.49200000000000005,0.851,232,13,20,0,7,10.0,0.2330508474576271,0.05508474576271186,0.0,0.06779661016949153,0.0012897678417884782,0.163135593220339,0.3050847457627119
Jason Hardtke,67,145,134,14,31,7,0,2,16,1,1,8,24,0.231,0.28300000000000003,0.32799999999999996,0.611,44,4,2,0,1,1.0,0.23134328358208955,0.05223880597014925,0.0,0.014925373134328358,0.0002630194634402946,0.05970149253731343,0.1791044776119403,Jason Hardtke,76,323,302,31,82,16,2,4,27,0,2,16,55,0.272,0.309,0.377,0.687,114,12,1,3,1,0.0,0.271523178807947,0.052980132450331126,0.006622516556291391,0.013245033112582781,0.0,0.052980132450331126,0.18211920529801323
Tony Tarasco,457,1129,1006,151,241,46,5,34,118,39,10,106,171,0.24,0.313,0.397,0.7090000000000001,399,15,4,6,7,0.0,0.23956262425447317,0.04572564612326044,0.004970178926441352,0.033797216699801194,0.010257759074171488,0.10536779324055666,0.16998011928429424,Tony Tarasco,102,422,380,40,91,13,1,19,57,1,7,38,88,0.239,0.306,0.429,0.735,163,7,0,0,4,0.0,0.2394736842105263,0.034210526315789476,0.002631578947368421,0.05,0.0004299226139294927,0.1,0.23157894736842105
Eddy Diaz,16,51,50,4,11,2,1,0,7,0,0,1,5,0.22,0.235,0.3,0.535,15,3,0,0,0,0.0,0.22,0.04,0.02,0.0,0.0,0.02,0.1,Eddy Diaz,430,1600,1448,166,404,55,3,65,220,13,9,105,164,0.27899999999999997,0.33299999999999996,0.456,0.789,660,33,18,18,11,6.0,0.27900552486187846,0.03798342541436464,0.0020718232044198894,0.04488950276243094,0.005588993981083405,0.07251381215469613,0.1132596685082873
Luis Lopez,52,155,145,10,33,4,0,3,10,0,0,8,25,0.228,0.273,0.317,0.59,46,11,1,1,0,1.0,0.22758620689655173,0.027586206896551724,0.0,0.020689655172413793,0.0,0.05517241379310345,0.1724137931034483,Luis Lopez,118,367,336,29,75,16,1,12,49,0,0,25,61,0.223,0.28300000000000003,0.384,0.667,129,9,4,0,2,0.0,0.22321428571428573,0.047619047619047616,0.002976190476190476,0.03571428571428571,0.0,0.0744047619047619,0.18154761904761904
Torey Lovullo,303,837,737,80,165,35,1,15,60,9,8,80,121,0.22399999999999998,0.301,0.335,0.636,247,16,3,12,5,3.0,0.22388059701492538,0.04748982360922659,0.0013568521031207597,0.0203527815468114,0.002367175170962651,0.10854816824966079,0.16417910447761194,Torey Lovullo,29,74,66,6,13,1,0,1,2,1,0,7,11,0.19699999999999998,0.27399999999999997,0.258,0.532,17,4,0,1,0,0.0,0.19696969696969696,0.015151515151515152,0.0,0.015151515151515152,0.0004299226139294927,0.10606060606060606,0.16666666666666666
Lou Merloni,423,1223,1085,138,294,67,7,14,125,9,8,88,213,0.271,0.332,0.384,0.716,417,38,17,20,13,5.0,0.2709677419354839,0.06175115207373272,0.0064516129032258064,0.012903225806451613,0.002367175170962651,0.08110599078341015,0.19631336405529953,Lou Merloni,41,102,94,10,20,4,0,1,3,0,0,7,15,0.213,0.275,0.287,0.562,27,2,1,0,0,0.0,0.2127659574468085,0.0425531914893617,0.0,0.010638297872340425,0.0,0.07446808510638298,0.1595744680851064
Bobby Rose,73,223,200,24,49,11,3,5,23,1,1,15,33,0.245,0.305,0.405,0.71,81,5,3,3,2,1.0,0.245,0.055,0.015,0.025,0.0002630194634402946,0.075,0.165,Bobby Rose,1039,4525,3929,574,1275,238,36,167,808,16,12,488,566,0.325,0.402,0.531,0.9329999999999999,2086,144,57,1,50,44.0,0.3245100534487147,0.06057520997709341,0.009162636803257827,0.04250445405955714,0.006878761822871883,0.12420463222193942,0.1440570119623314
Domingo Martinez,15,23,22,4,9,0,0,2,6,0,0,1,8,0.409,0.435,0.682,1.117,15,0,0,0,0,0.0,0.4090909090909091,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.36363636363636365,Domingo Martinez,538,1907,1696,214,497,76,3,104,350,9,4,175,361,0.293,0.36,0.525,0.8859999999999999,891,69,15,0,21,21.0,0.2930424528301887,0.04481132075471698,0.001768867924528302,0.06132075471698113,0.003869303525365434,0.10318396226415094,0.21285377358490565
